titre;content;prix;categorie
Assortiments de salades fines marocaines ;Aubergine, Carotte, Courgette, Mauve sauvage, Navet, Raisin, Tomate et Poivron;80;entrees-froides
Salade niçoise;Laitue, Poivron, Oignon, Pomme de terre, Haricot, Concombre, Thon et Œufs;55;entrees-froides
Tomates mozzarella à la sauce basilique;Tomate  ,Fromage Mozzarella et Sauce Basilique;60;entrees-froides
Salade césar;Tomate, Laitue, Croton, Poulet, Fromage Parmesan;60;entrees-froides
Salade de crudité ;Carotte, Concombre, Pomme de terre, Chaux blanc et rouge, Tomate;45;entrees-froides
Salade Quinoa;Tomate, Laitue, Avocat, Quinoa, Fromage chèvre;60;entrees-froides
Mezzé orientale;pois-chiche,Aubergine,Tomate,Oignon,et Menthe;60;entrees-froides
Soupe à la marocaine;Pois chiche, Lentilles, Riz, Tomate, Oignon, Céleri;45;entrees-chaudes
Pastilla aux fruits de mer;Vermicelle, Crevettes, calamar  et Poisson blanc ;70;entrees-chaudes
Pastilla aux poulet  amende;Œufs, Amendes, Poulet, Miel et Fleur d’orange;65;entrees-chaudes
Pastilla végétarienne farcie aux légumes du jour;Légumes de saison Courgette, Carotte…;55;entrees-chaudes
Trio de briwates (6 Pieces );Fromage, Viandes hachées et Fruits de mer;85;entrees-chaudes
Crevettes pil-pil;Crevettes, Poivrons et Sauce tomate piquante;55;entrees-chaudes
Tajine de bœuf aux pruneaux;Viande de Bœuf, Pruneaux, Œufs et Sésame;90;nos-plats-marocains
Tajine de poulet aux safran et gingembre;Poulet, Olives, Citron confit;80;nos-plats-marocains
Couscous Royal;Légumes de saison, Oignon sucré et Raisin;100;nos-plats-marocains
Coquelet aux herbes;Coquelet et Herbes de saison;80;nos-plats-marocains
Tajine végétarien ;Légumes de saison ;70;nos-plats-marocains
Tajine de poisson à la safiote aux trois poivrons;Poisson, Carotte, Pomme de terre, Tomate, et Poivron;90;nos-plats-marocains
tajine de boulette de viande Végan;Haricot rouge, Quinoa et Sauce tomate;65;nos-plats-marocains
Tajine de kefta aux œufs;Viande hachée, Sauce tomate et Œufs ;75;nos-plats-marocains
Souris d’agneau (tangia;Souris d’agneau a la façon tangia;120;nos-plats-marocains
Brochettes de filet de bœuf;Viande filet de bœuf, Légumes sautés  et frite ;110;nos-plats-varies 
Emincée de poulet a la crème aux champignons;Poulet, Champignon, Oignon, Crème fraiche et Riz ;85;nos-plats-varies 
Brochettes de poulet;Blanc de poulet, Légumes sautés et frite ;70;nos-plats-varies 
Spaghetti végétariennes a l’huile d’olive;Spaghetti, Sauce tomate et légumes de saison;60;nos-plats-varies 
Carbonara aux  saumon;Saumon, crème fraiche et tagliatelle;90;nos-plats-varies 
Penné au pisto;Penné,Poulet,Champignon et creme fraiche;70;nos-plats-varies 
Cheese burger;;65;nos-sandwich-et-burger
Club sandwich au poulet;;45;nos-sandwich-et-burger
Végan burger;;60;nos-sandwich-et-burger
Chiken burger;;60;nos-sandwich-et-burger
Crème brulée;;45;dessert
Assiette gourmande ;;90;dessert
Mousse au chocolat ;;45;dessert
Assiettes de fruits découpés;;50;dessert
Cigares de poire et miel;;75;dessert
Cigare au chocolat;;45;dessert
Pastilla aux l ait et aux amendes ;;70;dessert
Coca Cola;;20;boissons-les-sodas
Coca Zéro;;20;boissons-les-sodas
Schweppes tonic ;;20;boissons-les-sodas
Fanta Citron ;;20;boissons-les-sodas
Fanta Orange;;20;boissons-les-sodas
Orangina;;20;boissons-les-sodas
Sprite;;;boissons-les-sodas
Sidi Ali (0.5 L);;15;boissons-les-eaux-minirales
Sidi Ali (1.5  L);;25;boissons-les-eaux-minirales
Oulmés ( eau gazeuse 0.5 L);;15;boissons-les-eaux-minirales
Oulmés ( eau gazeuse 1 L );;25;boissons-les-eaux-minirales
Jus de banane;;30;les-jus
Jus de fraise ;;30;les-jus
Jus d orange;;20;les-jus
Jus  d avocat ;;30;les-jus
Jus  de carotte ;;25;les-jus
Jus de concombre;;25;les-jus
Jus d ananas ;;30;les-jus
Citronade de maison;;30;les-jus
Thé a la menthe ;;20;the-et-cafe
Thé ;;20;the-et-cafe
Café express;;20;the-et-cafe
Café Lavazza;;25;the-et-cafe
Café crème;;20;the-et-cafe
Café nus-nus;;20;the-et-cafe
